id,pais,iso_3,nivel,entidade,regiao,ano,data_completa,status,fonte,tipo_evidencia,cor_mapa,url_documento,url_referencia,fator_risco_wwa,justificativa,observacoes,verificado,adm1_ne_id,lat,lon
1772,Estados Unidos,USA,municipal,Oakland County Board of Commissioners,Michigan,2019.0,12 Dec 2019,ativo,CEDAMIA,declaracao-formal,amarelo,https://www.cedamia.org/wp-content/uploads/2020/01/Oakland-County-MI.pdf,,,,Acknowledged CE,False,1159314665.0,42.6552164,-83.3271115
1773,Estados Unidos,USA,municipal,Ojai City Council,California,2019.0,22 Jul 2019,ativo,CEDAMIA,declaracao-formal,amarelo,https://drive.google.com/file/d/1LnW_n2_cvqXK72siFNI5WOoE7dInfuAp/view,,,,CE & mobilisation,False,1159308415.0,34.4480495,-119.242889
1774,Estados Unidos,USA,municipal,Olympia City Council,Washington,2021.0,2 Feb 2021,ativo,CEDAMIA,declaracao-formal,amarelo,https://www.olympiawa.gov/Document_center/Community/Climate%20Change%20Response/M-2194.pdf,,,,Declared CE,False,1159309547.0,47.0451022,-122.8950075
1775,Estados Unidos,USA,municipal,Orlando City Council,Florida,2020.0,9 Nov 2020,ativo,CEDAMIA,declaracao-formal,amarelo,https://foundationforclimaterestoration.org/wp-content/uploads/2020/11/ORL-Climate-Emergency-Declaration_final.pdf,,,,Acknowledged CE,False,1159315207.0,28.5421218,-81.379045
1776,Estados Unidos,USA,municipal,Orleans Town Meeting,Massachusetts,2020.0,31 Oct 2020,ativo,CEDAMIA,declaracao-formal,amarelo,https://www.town.orleans.ma.us/sites/g/files/vyhlif3631/f/uploads/stm_10-31-2020_doings_0.pdf,,,,Declared CE,False,1159312157.0,41.7883108,-69.99001
1777,Estados Unidos,USA,municipal,Pasadena City Council,California,2023.0,30 Jan 2023,ativo,CEDAMIA,declaracao-formal,amarelo,https://ww2.cityofpasadena.net/2023%20Agendas/Jan_30_23/Agendarecap1.asp,https://www.pasadenastarnews.com/2023/02/02/pasadena-sets-carbon-free-electricity-goal-by-2030-declares-climate-emergency/,,,Declared CE,False,1159308415.0,34.1476507,-118.144155
1778,Estados Unidos,USA,municipal,Petaluma City Council,California,2019.0,6 May 2019,ativo,CEDAMIA,declaracao-formal,amarelo,https://petaluma.granicus.com/MinutesViewer.php?view_id=31&clip_id=2718&doc_id=a0f93f93-abdd-11e9-b703-0050569183fa,,,,Declared CE,False,1159308415.0,38.2325829,-122.636465
1779,Estados Unidos,USA,municipal,Pitkin County Council,Colorado,2019.0,25 Sep 2019,ativo,CEDAMIA,declaracao-formal,amarelo,,https://www.aspendailynews.com/news/pitkin-county-commissioners-declare-emergency-on-climate-change/article_a34ece5c-e008-11e9-8dce-9395b5c69f31.html,,,Declared CE,False,1159315343.0,39.2037774,-106.8695332
1780,Estados Unidos,USA,municipal,Plymouth Town Council,Massachusetts,2021.0,20 Jul 2021,ativo,CEDAMIA,declaracao-formal,amarelo,https://www.plymouth-ma.gov/sites/g/files/vyhlif3691/f/news/tm_report_-_2021_07-28.pdf,https://www.wickedlocal.com/story/old-colony-memorial/2021/07/26/board-issues-climate-emergency-deal-plymouth-coastline-threat/8070565002/,,,Declared CE,False,1159312157.0,41.9426657,-70.7618592
1781,Estados Unidos,USA,municipal,Plymouth Town Council,New Hampshire,2019.0,28 Oct 2019,ativo,CEDAMIA,declaracao-formal,amarelo,http://democracy.plymouth.gov.uk/documents/s101367/Minutes%20Public%20Pack%2016122019%20City%20Council.pdf,https://www.laconiadailysun.com/news/local/plymouth-selectmen-pass-declaration-of-climate-emergency/article_0d21cacc-fbf3-11e9-a606-7b0f5c577e50.html,,,Acknowledged CE,False,1159315303.0,43.7440651,-71.7238393
